provinsi;populasi;luas_wilayah;luas_hutan;emisi
Aceh;4.494,40;57.956,00;5.102;10,34
Bali;3.890,80;5.780,06;320;12,68
Bangka Belitung;1.223,30;16.424,06;1.514;2,99
Banten;10.632,20;9.662,92;1.439;1,39
Bengkulu;1.715,50;19.919,33;882;3,16
Gorontalo;1.040,20;11.257,07;2.894;1,69
Jakarta;9.607,80;664,01;0;2,99
jambi;3.092,30;50.058,16;13.194;11,35
Jawa Barat;43.053,70;35.377,76;1.319;1,42
Jawa Tengah;32.382,70;32.800,69;23.136;1,33
Jawa Timur;37.476,80;47.799,75;16.105;2,62
Kalimantan Barat;4.396,00;147.307,00;154.287;14,29
Kalimantan Selatan;3.626,60;38.744,23;9.884;3,36
Kalimantan Tengah;2.212,10;153.564,50;100.959;41,13
Kalimantan Timur;3.553,10;204.534,34;90.763;9,02
Kepulauan Riau;1.679,20;8.201,72;2.638;2,03
Lampung;7.608,40;34.623,80;11.366;11,91
Maluku ;1.533,50;46.914,03;17.420;1,41
Maluku Utara;1.038,10;31.982,50;20.963;4,78
Nusa Tenggara Barat;4.500,20;18.572,32;3.887;1,51
Nusa Tenggara Timur;4.683,80;48.718,10;37.183;1,12
Papua;2.833,40;319.036,05;183.220;23,73
Papua Barat;760,4;97.024,27;87.386;6,23
Riau;5.538,40;87.023,66;81.164;38,5
Sulawesi Barat;1.158,60;16.787,18;3.966;1,3
Sulawesi Selatan;8.034,80;46.717,48;1.171;2,05
Sulawesi Tengah;2.635,00;61.841,29;108.608;3,47
Sulawesi Tenggara;2.232,60;38.067,70;2.977;2,49
Sulawesi Utara;2.270,60;13.851,64;837;1,45
Sumatera Barat;4.846,90;42.012,89;7.067;4,01
Sumatera Selatan;7.450,40;91.592,43;25.779;8,37
Sumatera Utara;12.982,20;72.981,23;10.331;20,03
Yogyakarta;3.457,50;3.133,15;816;1,26