,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,451.47,183.58,154.21,316.34,179.62,120.92,121.69,106.71,235.79,227.95,290.39,405.37
1902,260.28,160.01,246.23,277.07,265.79,110.08,87.88,175.40,79.05,117.74,225.91,299.19
1903,486.21,250.81,325.47,225.60,229.54,110.30,171.43,242.97,192.13,197.70,342.81,384.79
1904,319.13,182.65,257.99,340.21,110.72,128.87,212.70,125.10,155.58,316.70,184.42,271.78
1905,416.73,379.63,243.53,295.49,180.00,78.10,120.30,222.01,197.42,191.36,310.18,256.00
1906,393.94,327.17,232.49,383.09,193.83,222.54,159.51,192.22,175.97,220.70,267.18,331.09
1907,400.37,330.93,211.53,237.18,98.79,106.89,237.69,141.88,376.04,186.59,246.04,247.29
1908,300.06,225.34,161.91,378.99,124.78,164.91,138.77,121.51,199.04,271.76,216.44,253.00
1909,238.72,368.64,244.73,283.14,233.14,151.38,81.17,300.38,125.98,272.70,219.71,299.24
1910,332.72,177.06,196.38,147.38,158.30,155.56,160.29,177.92,246.03,181.22,294.04,338.00
1911,219.00,104.12,181.80,277.44,219.46,107.34,129.59,160.08,192.59,302.26,314.30,260.64
1912,287.68,249.01,267.39,192.04,254.96,118.53,56.09,133.49,151.70,276.28,310.60,413.91
1913,268.03,258.54,253.53,265.55,174.52,162.97,97.93,162.51,200.43,132.21,239.65,344.31
1914,420.57,291.91,245.24,384.71,169.04,202.41,37.55,139.34,124.75,143.47,273.80,226.32
1915,263.23,246.93,176.72,411.65,230.09,241.24,77.27,165.13,195.80,258.18,317.72,330.11
1916,260.73,92.70,281.46,341.66,228.20,84.09,169.10,146.34,199.06,284.71,224.28,349.74
1917,342.61,255.84,364.47,252.16,143.37,131.60,84.04,247.31,161.22,207.49,154.93,333.82
1918,255.59,91.63,258.51,185.53,231.08,162.18,59.07,80.20,220.38,213.26,269.48,204.42
1919,307.00,241.97,263.72,203.26,208.38,67.48,156.88,69.22,162.88,231.67,282.20,278.87
1920,267.45,176.56,156.63,343.47,156.90,152.27,106.05,124.88,118.00,126.39,214.14,100.17
1921,280.30,231.76,123.27,81.37,195.78,137.17,125.02,108.62,136.37,199.85,199.53,107.47
1922,275.10,201.48,100.17,244.13,100.64,66.68,83.27,63.23,135.04,169.53,149.48,159.24
1923,342.12,173.66,111.35,213.55,118.23,69.58,81.15,95.52,148.28,170.04,255.74,143.66
1924,340.62,244.77,235.74,136.07,171.29,108.55,52.26,150.28,122.09,149.25,122.04,228.15
1925,358.84,179.46,185.91,172.06,75.46,121.57,87.12,81.53,204.62,178.65,298.81,267.58
1926,287.83,225.66,297.44,321.52,149.71,108.05,79.83,87.54,96.70,126.46,328.29,288.83
1927,172.36,298.04,244.31,289.64,97.09,87.87,41.59,117.90,377.00,263.98,316.51,262.45
1928,280.73,276.05,239.24,198.75,138.82,51.82,137.32,171.89,131.65,258.51,354.78,269.87
1929,226.14,292.41,254.11,238.49,219.78,205.65,74.92,211.27,288.75,257.99,324.72,323.57
1930,338.89,171.99,362.73,332.50,165.65,152.36,52.63,176.87,129.90,382.77,279.36,405.25
1931,519.91,284.44,366.07,295.65,201.60,187.40,211.24,146.91,282.27,271.52,308.01,471.80
1932,247.26,187.59,187.44,300.04,263.15,186.70,71.54,193.81,178.55,282.90,278.82,381.81
1933,457.76,247.88,211.40,331.29,304.99,139.64,130.43,254.77,234.94,244.60,307.85,217.63
1934,278.37,112.73,259.90,385.89,132.10,225.45,131.89,142.70,155.22,223.00,297.44,173.94
1935,262.32,328.95,220.52,219.72,218.49,145.31,101.18,158.30,143.24,332.22,431.89,391.79
1936,374.76,236.92,256.48,247.86,291.60,103.56,120.00,144.78,131.40,308.00,237.98,202.03
1937,247.54,271.49,152.23,425.83,236.37,74.34,86.24,156.70,232.47,236.79,269.77,387.79
1938,231.84,230.81,393.55,296.88,212.98,123.29,220.00,172.88,270.74,193.09,294.98,392.41
1939,327.59,118.96,190.92,378.87,209.40,130.64,63.54,168.46,262.20,252.85,212.27,411.73
1940,215.03,267.70,341.94,306.72,209.85,116.18,125.23,190.24,208.26,209.09,335.26,340.03
1941,331.03,305.42,274.53,384.85,219.47,116.19,65.76,197.52,196.26,274.17,346.16,474.70
1942,266.57,227.26,258.72,301.35,188.51,130.69,146.64,146.69,194.64,233.77,273.00,279.55
1943,257.79,231.75,265.57,292.25,184.02,130.71,145.22,142.80,194.76,226.16,273.61,264.34
1944,265.62,234.55,247.90,291.38,189.05,134.74,144.33,144.45,200.66,226.67,272.52,261.46
1945,261.25,231.37,264.53,295.26,187.13,130.42,148.46,147.93,194.71,239.86,273.21,276.83
1946,269.22,223.10,266.24,294.69,195.78,140.27,143.07,141.62,198.70,222.22,266.82,284.23
1947,285.66,244.14,308.48,304.71,186.07,135.14,141.85,148.12,197.36,217.92,248.92,288.25
1948,379.70,540.61,310.51,242.64,199.85,135.88,151.70,138.36,193.49,222.09,392.67,273.52
1949,243.63,297.60,241.54,305.53,128.37,96.71,68.08,110.35,207.45,214.74,230.94,337.90
1950,307.15,161.75,338.79,393.18,246.28,71.19,122.61,255.72,165.73,231.26,382.24,200.86
1951,366.98,298.03,228.12,283.58,196.14,94.89,176.19,181.66,224.27,161.23,203.19,359.99
1952,424.69,426.21,344.48,287.92,183.43,69.69,209.86,200.63,225.69,219.57,258.13,247.61
1953,326.08,294.09,337.41,305.79,196.96,106.24,239.30,109.81,213.56,284.59,286.79,396.73
1954,378.36,291.62,321.62,310.75,202.16,141.64,173.66,187.78,153.25,288.60,293.62,255.77
1955,378.19,268.32,314.88,383.25,145.90,86.56,167.69,212.25,182.56,286.32,141.17,384.38
1956,277.74,210.99,207.10,235.90,155.34,119.58,167.27,184.97,208.69,199.05,373.80,305.51
1957,200.59,177.50,279.84,348.59,207.79,115.28,152.31,185.75,195.52,221.95,250.33,458.02
1958,279.12,283.88,285.97,252.92,281.55,149.79,37.50,189.17,163.50,185.50,261.95,256.21
1959,256.99,286.44,275.54,405.22,171.39,208.71,115.42,99.75,178.13,227.84,254.28,250.81
1960,312.37,273.95,236.15,283.00,187.09,105.49,254.24,147.11,261.37,246.11,261.67,303.42
1961,204.90,263.52,214.54,192.07,108.05,112.59,91.03,79.51,72.97,140.13,212.34,279.01
1962,456.85,161.60,371.46,291.87,228.53,178.47,131.59,160.95,195.78,334.75,309.58,333.99
1963,218.11,207.52,168.81,141.80,182.80,74.36,120.09,75.20,108.18,232.94,191.37,307.33
1964,316.98,347.50,244.88,329.97,170.67,155.56,272.76,118.64,192.54,231.52,161.99,341.14
1965,179.57,272.36,303.97,267.63,246.81,115.01,69.40,240.46,187.84,238.73,313.18,289.86
1966,351.18,274.21,288.95,291.36,132.85,122.47,132.25,212.96,158.64,283.91,256.12,209.96
1967,277.00,201.86,123.41,300.99,178.41,116.57,98.07,83.78,101.08,137.78,324.79,189.70
1968,332.60,124.77,236.78,307.88,189.53,128.27,184.49,134.31,157.52,293.42,350.98,311.05
1969,386.26,255.57,223.72,410.32,162.98,131.32,100.27,227.20,187.53,194.94,305.53,349.98
1970,373.66,173.00,350.09,344.41,218.82,179.17,100.84,142.93,331.70,290.57,297.67,228.73
1971,185.82,176.11,246.30,188.14,137.01,159.48,113.67,204.81,208.88,170.47,241.74,392.14
1972,188.11,264.65,270.40,297.89,317.45,128.63,100.74,119.00,190.53,126.13,230.25,372.78
1973,184.56,221.82,323.28,329.44,207.60,180.70,138.53,211.80,282.44,217.48,182.88,285.55
1974,131.95,240.18,160.28,330.48,212.94,155.75,144.77,163.33,295.28,158.02,226.31,236.48
1975,199.06,318.44,163.81,280.73,183.40,78.20,206.71,169.52,194.39,156.50,225.03,187.13
1976,117.49,138.21,243.46,260.84,113.35,147.36,160.42,124.44,181.75,294.06,296.50,227.73
1977,302.82,256.58,181.85,257.14,169.98,155.76,92.12,173.53,175.64,181.49,356.50,325.34
1978,342.37,255.35,268.54,252.02,180.25,114.25,176.78,141.10,191.13,283.78,319.81,236.95
1979,260.19,245.46,213.99,342.40,141.08,188.60,214.82,127.91,221.48,275.49,473.26,185.24
1980,234.06,207.06,300.22,323.13,198.79,137.57,171.23,175.20,195.85,258.31,375.74,271.08
1981,218.25,249.48,168.47,367.34,230.72,103.47,161.44,59.85,265.80,272.68,226.65,185.20
1982,169.47,240.64,219.57,361.61,215.95,74.81,49.50,80.12,97.22,142.27,219.53,249.99
1983,221.13,140.31,247.62,272.86,259.61,118.24,240.96,152.52,194.48,209.33,237.43,258.68
1984,295.85,291.95,298.21,310.87,201.92,157.80,230.67,111.85,290.44,226.99,281.54,257.92
1985,244.80,224.00,302.49,229.38,203.17,83.77,133.92,116.53,221.02,249.54,231.75,282.07
1986,318.34,153.91,384.97,344.47,196.70,216.28,200.42,112.36,232.43,225.14,287.51,291.11
1987,294.50,140.49,294.33,338.43,169.96,116.47,157.25,124.46,189.61,281.14,265.59,213.11
1988,364.77,175.29,428.07,263.67,200.52,103.87,69.51,218.63,260.34,162.02,258.65,208.25
1989,370.22,292.04,226.71,239.72,157.23,102.65,127.79,187.18,189.90,292.51,302.50,257.75
1990,203.92,206.21,238.31,248.84,128.01,84.98,270.20,85.72,144.36,375.13,234.28,178.90
1991,303.68,159.39,406.30,287.86,184.92,96.71,100.46,122.52,153.32,139.86,289.34,356.28
1992,168.27,183.75,197.86,233.87,176.21,85.86,219.06,120.90,193.52,209.43,251.93,307.48
1993,178.51,137.78,218.75,261.40,285.25,112.21,259.28,116.71,176.04,227.98,315.79,253.97
1994,166.83,228.17,270.92,266.43,157.69,104.46,67.91,74.70,105.05,105.46,311.32,179.97
1995,413.26,321.64,301.40,306.89,166.84,121.87,197.34,175.34,221.93,244.58,334.20,220.38
1996,239.86,199.63,214.53,340.13,200.13,146.68,163.91,178.04,305.40,333.01,265.40,226.19
1997,165.55,119.28,284.91,263.89,150.68,72.31,139.52,51.87,145.93,123.65,109.69,286.02
1998,256.16,177.06,260.26,228.12,203.87,171.09,249.94,187.66,228.78,370.82,176.71,296.79
1999,298.84,244.79,268.74,385.77,169.30,116.06,193.24,163.84,192.47,361.29,371.31,279.60
2000,315.19,156.77,243.13,267.47,159.62,203.67,196.18,156.63,195.67,194.39,319.20,331.20
2001,364.78,329.09,216.49,298.18,150.98,133.61,147.97,156.71,172.46,246.03,192.34,201.37
2002,301.18,181.09,268.79,322.94,212.08,110.37,170.90,117.33,192.79,232.39,345.58,365.13
2003,412.07,293.75,305.61,384.89,132.50,105.79,111.71,263.78,249.92,294.72,352.80,351.40
2004,328.20,179.75,288.07,336.50,153.74,96.05,197.62,94.24,200.69,299.45,288.83,277.26
2005,244.30,164.11,231.99,206.04,170.24,101.92,228.65,287.50,263.88,297.61,299.15,287.73
2006,246.13,271.01,379.20,311.40,161.16,158.44,123.69,166.55,113.80,126.36,184.09,391.91
2007,450.27,228.65,247.65,302.70,208.55,153.57,164.23,139.69,215.66,296.63,210.98,298.84
2008,244.31,232.55,375.71,292.44,115.04,202.78,191.20,205.43,256.97,206.23,271.12,362.04
2009,253.65,221.05,355.37,269.79,127.53,92.93,142.80,191.57,217.23,227.25,311.39,386.83
2010,328.41,301.28,446.41,302.69,203.33,218.10,226.33,202.13,317.96,245.55,321.52,200.22
2011,373.19,177.84,185.49,325.16,163.13,153.39,117.42,124.05,195.95,236.93,392.97,292.20
2012,197.86,326.35,325.02,208.89,194.56,98.54,160.25,113.14,144.02,248.40,247.16,350.43
2013,235.78,356.99,177.24,299.28,137.46,121.24,120.53,180.18,199.81,272.68,272.55,399.11
2014,298.75,95.61,172.57,335.64,185.37,129.11,146.89,196.00,236.61,216.57,357.08,215.95
2015,231.44,186.32,279.30,297.79,140.99,149.04,82.12,189.11,172.12,84.04,340.61,319.96
2016,306.04,256.40,356.91,300.38,233.55,197.21,161.14,177.64,185.22,223.47,268.18,295.88
2017,275.43,281.29,289.97,358.12,262.29,121.61,151.41,143.41,278.73,263.69,420.89,277.37
2018,183.82,265.37,298.98,288.28,230.61,162.42,162.97,110.56,161.22,299.19,338.79,287.78
2019,312.08,202.73,242.26,231.53,143.96,158.19,84.06,89.97,81.68,158.45,164.18,233.45
2020,339.01,130.82,211.99,383.41,216.20,136.92,214.87,118.87,233.17,244.66,332.32,218.15
2021,302.01,91.17,405.99,343.64,298.90,154.66,149.87,208.06,330.10,216.71,258.67,301.36